month;% FULL;Brent (eur/bbl);JKM (Eur/mmbtu);Coal (eur/t);CO2 (eur/t);current TTF_forward
5;51.84879032;62.45782277;4.128929142;56.25;24.53;16.633
6;62.298875;61.77016165;5.12322233;60.65;24.54;16.733
7;72.96995968;61.45216854;5.344050879;62.9;24.54;16.792
8;84.17645161;60.65200245;5.534133731;64.3;24.58;16.987
9;92.780125;59.86613352;5.693671766;67.95;24.6;17.562
10;97.38612903;59.13598344;5.833405191;70.1;24.7;18.855
11;95.73729167;57.99218617;6.425174112;69.85;24.77;21.23
12;84.75064516;56.92397857;6.94909578;70.4;24.84;21.685
1;71.51209677;55.95769294;7.12692117;71.15;24.92;21.74
2;55.34784483;55.75111552;7.002974715;71.95;25.06;21.745
3;44.54608871;55.54453809;6.71376632;72.6;25.36;21.445
4;43.39683333;55.32969757;5.8006941;72.8;25.9;20.147
5;51.12129032;55.10659395;5.623037514;73.25;26.44;18.92
6;61.571375;54.90001653;5.577590481;73.55;26.9;18.476
7;72.24245968;54.685176;5.713931582;73.85;27.51;18.515
8;83.44895161;54.46207238;5.734589324;73.75;27.51;18.59
9;92.052625;54.23896877;5.825483391;74.15;27.51;19.35
10;96.65862903;53.99933895;5.833746488;74.25;27.51;20.289
11;95.00979167;53.75970914;6.003139977;74.3;27.51;21.049
12;84.02314516;53.56965791;6.672450835;74.4;27.51;21.469
1;70.78459677;53.38786977;7.370682532;75.55;27.51;21.849
2;54.85589286;53.19781854;7.242604528;76.8;27.51;21.439
3;44.46808036;53.02429351;6.969922327;77.85;27.51;20.544
4;44.46808036;52.85076847;6.292348372;77.7;27.51;19.849
